,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
1,,この世界には、人間と『吸血鬼』が存在する。,,,,,,,,,,,,,,,,$
2,,"『吸血鬼』は人間の血を啜る化け物。
そのため、人間からはいつの時代も恐れられていた。",,,,,,,,,,,,,,,,$
3,,人を襲う、人ならざるもの。誰もが嫌う、恐ろしいもの。,,,,,,,,,,,,,,,,$
4,,……だけど、本当に恐ろしいのは――,,,,,FO,,,,,,,,,,,$
5,メイア,「っは、は……」,M-06,,,,back-001/FI,,,,,,,,,,,$
6,メイア,（心臓の音がうるさい。このまま破裂してしまいそう）,M-06,,,,back-001,,,,,,,,,,,$
,,"――ずっと仕えてきた貴族の家。
他の使用人達よりずっと身分の低い、市場で買われた
だけの私の立場なんて無いに等しいものだと分かってはいたけれど……",,,,,back-001,,,,,,,,,,,$
7,メイア,（メイドに、濡れ衣を着せられるなんて）,M-04,,,,back-001/FO,,,,,,,,,,,$
8,主人,"「聞いたぞ、貴様。
私の大切な壺を割り、その上罪を他人に擦り付けようとしたとか」",,S-01,,,back-002/FI,,,,Sepia,,,BGM-001/CI,,,,$
9,メイア,"「は……っ？ま、待ってくださいご主人様。
あれを割ったのは私ではなく、メイドの……」",M-05,S-01,,,back-002,,,,Sepia,,,,,,,$
10,主人,「まだ言うか、奴隷風情が！」,,S-01,,,back-002,,,,Sepia/Shake,,,,SE-050,,,$
11,メイア,「……っ！」,M-04,,,,back-002,,,,Sepia,,,,,,,$
12,主人,"「どうせ盗んで金に換えようとでも企んだんだろう。
ふん、これだから奴隷は……」",,S-01,,,back-002,,,,Sepia,,,,,,,$
13,主人,"「子供だと思って大目に見てやっていればこのザマだ。
こんなことならもっと早く処分しておくのだった」",,S-01,,,back-002,,,,Sepia,,,,,,,$
14,メイア,「そんな……私は、本当に」,M-04,,,,back-002,,,,Sepia,,,,,,,$
15,主人,「黙れ！」,,S-01,,,back-002,,,,Sepia/Shake,,,,,,,$
16,主人,"「いいか、そもそもこんな失態を犯すような者貴様以外にいるわけがない。
私の使用人達は貴様のようなろくでなしではないからな」",,S-01,,,back-002,,,,Sepia,,,,,,,$
17,主人,"「……まあ、丁度いい。
近々お前を引き取ってくれる方が現れたんだ。
来週にでもその方の屋敷に行ってもらう」",,S-01,,,back-002,,,,Sepia,,,,,,,$
18,メイア,「……？」,M-04,S-01,,,back-002,,,,Sepia,,,,,,,$
19,主人,"　「以前貴様の話をしたらご興味を示された。あの方は特殊な嗜好を持っていらしてな。
お前のような女が何人も屋敷にいるらしい」",,S-01,,,back-002,,,,Sepia,,,,,,,$
20,主人,"「……ククッ、ここよりも居心地がいいんじゃないか？
身体さえ提供すればそれなりの暮らしができるんだ」",,S-01,,,back-002,,,,Sepia,,,,,,,$
21,メイア,「──っ！」,M-06,S-01,,,back-002,,,,Sepia,,,,,,,$
22,メイア,"（……きっと、ゴードン伯爵だ。ご主人様と仲がいいもの。
それに……あの人は、良い噂を聞かない）",M-04,S-01,,,back-002,,,,Sepia,,,,,,,$
23,主人,"「約束までの間は物置小屋にでも突っ込んでおくか。
──誰か！この女を物置小屋に！」",,S-01,,,back-002,,,,Sepia,,,,,,,$
24,使用人A,「かしこまりました」,,,S-02,S-02,back-002,,,,Sepia,,,,,,,$
25,メイア,「っ……！離して！」,M-04,,S-02,S-02,back-002,,,,Sepia,,,,SE-001,,,$
26,使用人B,「静かにしろ！」,,,S-02,S-02,back-002,,,,Sepia,,,,,,,$
27,メイア,（どうしよう、一度伯爵のところに行ってしまったらきっと逃げられない）,M-04,,S-02,S-02,back-002,,,,Sepia,,,,,,,$
28,メイア,"（この屋敷に連れられてから、下働きとしてずっと生きてきて……
全部、何もかも諦めてきたのに）",M-04,,S-02,S-02,back-002,,,,Sepia,,,,,,,$
29,メイア,"（伯爵のところに行ってしまったらそれこそ私、
何もかも失ってしまう）",M-04,,S-02,S-02,back-002,,,,Sepia,,,,,,,$
30,メイア,（……そうだ）,M-07,,S-02,S-02,back-002,,,,Sepia,,,,,,,$
31,メイア,"　（このまま伯爵のところに行ったって、死ぬのと同じようなもの。
……むしろ、死んだほうがマシかもしれない）",M-07,,S-02,S-02,back-002,,,,Sepia,,,,,,,$
32,メイア,（──どうせ死ぬのなら、最後くらい抗いたい！）,M-08,,S-02,S-02,back-002,,,,Sepia,,,,,,,$
33,メイア,「っ……！」,M-08,,S-02,S-02,back-002,,,,Sepia,,,,SE-001,,,$
34,使用人B,「！？いっ……！」,,,S-02,S-02,back-002,,,,Sepia,,,,,,,$
35,使用人A,「こいつ、腕に噛み付きやがった！」,,,S-02,S-02,back-002,,,,Sepia,,,,,,,$
36,主人,「なっ……貴様ら何をしている！追え！逃がすな！」,,S-01,,,back-002/FO,,,,Sepia,,,,SE-002,,,$
37,メイア,"（……それで、一心不乱に逃げてきたはいいものの
……ここ、どこだろう）",M-04,,,,back-001/FI,,,,,,,,,,,$
38,メイア,"（ただでさえ曇りで暗いのに、木が鬱蒼としてるせいで夜みたい。
道も全部同じに見えて……）",M-04,,,,back-001,,,,,,,,,,,$
39,男,「……」,,S-03,,,back-001,,,,,,,,SE-049,,,$
40,メイア,「ッ……！」,M-05,S-03,,,back-001,,,,,,,,,,,$
41,メイア,（び……びっくりした。追手だと思った……）,M-05,S-03,,,back-001,,,,,,,,,,,$
42,男,「……」,,S-03,,,back-001,,,,,,,,,,,$
43,メイア,「……あ、あの……」,M-05,S-03,,,back-001,,,,,,,,,,,$
44,男,「……ウウ……」,,S-03a,,,back-001,,,,,,,,,,,$
45,メイア,（……この人、目が赤い……）,M-04,S-03a,,,back-001,,,,,,,,,,,$
46,メイア,（――まさか！）,M-05,S-03a,,,back-001,,,,,,,,,,,$
47,男,「グ……ウガァァァ！！」,,S-03a,,,back-001,,,,,,,,SE-038,,,$
48,メイア, 「――吸血鬼！？」,M-05,S-03a,,,back-001,,,,,,,,,,,$
49,メイア,「は……っ、逃げなきゃ！」,M-04,S-03a,,,back-001/SO,,,,,,,,,,,$
50,メイア,「は……っ、行き止まり？」,M-05,,,,back-003/SI,,,,,,,,,,,$
51,メイア,（廃墟……？どうしよう、どこか隠れられる場所は──）,M-04,,,,back-003,,,,,,,,,,,$
,,,,,,,back-003,『廃屋敷の中』,『花壇の裏』,,,,,,,,,$
