,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
10001,メイア,「ええと、山から採れた天然水……へえ、美味しそう！」,M-02/style_B,,,,back-013-night/FI,,,,,,,,,,,$
10002,メイア,「どうしよう。お料理に使おうかな？ それともそのままお出しした方がいいかな……」,M-01/style_B,,,,back-013-night,,,,,,,,,,,$
10003,テオドア,「……！ そ、その瓶は……！」,M-01/style_B,T-05,,,back-013-night,,,,,,,,,P_T01_03,,$
10004,メイア,「あ、テオさん。どうされま──」,M-01/style_B,T-05,,,back-013-night,,,,,,,,,,,$
10005,テオドア,「き、きみ！ それ、どこで手に入れたんだい！？」,M-01/style_B,T-03,,,back-013-night,,,,,,,BGM-023/FI,,P_T01_05,,$
10006,メイア,「きゃっ！？ え、えっと、普通に商店街で……特別に仕入れたって、残り一品のを……」,M-05/style_B,T-03,,,back-013-night,,,,,,,,,,,$
10007,テオドア,「し、商店街……！？くっ、 灯台下暗しってことか……」,M-05/style_B,T-05,,,back-013-night,,,,,,,,,P_T01_07,,$
10008,メイア,「あ、あの……？」,M-04/style_B,T-05,,,back-013-night,,,,,,,,,,,$
10009,テオドア,「いいかい、メイアさん。きみの持っているその水……普通の水だと思っているなら、今すぐに考えを正したほうが良い」,M-04/style_B,T-03,,,back-013-night,,,,,,,,,P_T01_09,,$
10010,メイア,「へっ」,M-05/style_B,T-03/BU,,,back-013-night,,,,,,,,,,,$
10011,テオドア,「ここから遙か北……人が住むことも許されない程の厳しい雪山でのみ採れる幻の天然水」,M-05/style_B,T-01/BU,,,back-013-night,,,,,,,,,P_T01_11,,$
10012,テオドア,「無駄なものが一切入っていない氷を溶かして作るその水はどんな生き物にも活力を与えると言われている程の奇跡の水なんだ！」,M-05/style_B,T-06/BU,,,back-013-night,,,,,,,,,P_T01_12,,$
10013,メイア,「は、はあ……」,M-04/style_B,T-06/BU,,,back-013-night,,,,,,,,,,,$
10014,テオドア,「水を求めて山を登ったとしても、極寒の地で無事に下山できるかも分からない……実際、あの吹雪の中じゃ遭難してもおかしくないからね」,M-04/style_B,T-03,,,back-013-night,,,,,,,,,P_T01_14,,$
10015,テオドア,「僕だって何度か自分が何処にいるか分からなくなったし……」,M-04/style_B,T-04,,,back-013-night,,,,,,,,,P_T01_15,,$
10016,メイア,「い、行ったんですか……！？」,M-05/style_B,T-04,,,back-013-night,,,,,,,,,,,$
10017,テオドア,「……とにかく、きみは本当に運がいいよ。僕がどれだけ求めても手に入らなかったのに……うん、本当に……」,M-05/style_B,T-01,,,back-013-night,,,,,,,,,P_T01_17,,$
10018,テオドア,「……それ、何に使うんだい？」,M-05/style_B,T-01,,,back-013-night,,,,,,,,,P_T01_18,,$
10019,メイア,「えっと……お料理に」,M-01/style_B,T-01,,,back-013-night,,,,,,,,,,,$
10020,テオドア,「…………そう」,M-01/style_B,T-02,,,back-013-night,,,,,,,,,P_T01_20,,$
10021,テオドア,「料理か、そう……きっとすごく美味しいんだろうな。幻の水が使われた、料理……」,M-01/style_B,T-06,,,back-013-night,,,,,,,BGM-023/FO,,P_T01_21,,$
10022,メイア,「…………」,M-01/style_B,T-06,,,back-013-night,,,,,,,,,,,$
10023,テオドア,「…………」,M-01/style_B,T-04,,,back-013-night,,,,,,,,,P_T01_23,,$
10024,メイア,「……あの、差し上げますよ？」,M-02/style_B,T-04,,,back-013-night,,,,,,,,,,,$
10025,テオドア,「いや！ 受け取れないよ！ 言ったろう、それはとても価値のあるものなんだ。そんなものを簡単に人に渡しては……！」,M-02/style_B,T-03,,,back-013-night,,,,,,,,,P_T01_25,,$
10026,メイア,「私にはその価値がわかりませんから。テオさん、ずっと欲しかったんでしょう？ どうか貰ってください」,M-01/style_B,T-03,,,back-013-night,,,,,,,,,,,$
10027,メイア,「……それに、そんな顔されてたら使いにくいですし」,M-02/style_B,T-03,,,back-013-night,,,,,,,,,,,$
10028,テオドア,「あ……ごめん、つい夢中になって」,M-02/style_B,T-05,,,back-013-night,,,,,,,,,P_T01_28,,$
10029,テオドア,「僕の悪い癖なんだ。興味のあることだとすぐに視野が狭くなっちゃって……気を遣わせた？」,M-02/style_B,T-04,,,back-013-night,,,,,,,,,P_T01_29,,$
10030,メイア,「いえいえ！ テオさんの新しい一面が見られて嬉しいです」,M-02/style_B,T-04,,,back-013-night,,,,,,,,,,,$
10031,メイア,「本当に気にしないでください。私がテオさんに渡したいと思ったんです。ですから、貰ってくれませんか？」,M-01/style_B,T-04,,,back-013-night,,,,,,,,,,,$
10032,テオドア,「メイアさん……」,M-01/style_B,T-05,,,back-013-night,,,,,,,,,P_T01_32,,$
