,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
10001,メイア,「……煙草……。買ったはいいけど、誰も吸わないよね」,M-04/style_B,,,,back-006/FI,,,,,,,,,,,$
10002,メイア,「クラインも吸わないし、リートさんは……持ち込んだだけでいい顔しなさそうだし……」,M-04/style_B,,,,back-006,,,,,,,,,,,$
10003,メイア,「うーん……どうしよう？」,M-04/style_B,,,,back-006,,,,,,,,,,,$
10004,グレイ,「ん……お嬢ちゃん、一人でおるんは珍しいな」,M-04/style_B,G-06,,,back-006,,,,,,,BGM-022/FI,,P_G01_04,,$
10005,メイア,「あ、グレイさん」,M-01/style_B,G-06,,,back-006,,,,,,,,,,,$
10006,グレイ,「何か困りごとか？ クラインもおらんようやし、代わりに俺が相談に乗ったろか」,M-01/style_B,G-02,,,back-006,,,,,,,,,P_G01_06,,$
10007,メイア,「困りごと、という程でも無いんですが……それじゃあ。グレイさん、煙草って吸われますか？」,M-01/style_B,G-02,,,back-006,,,,,,,,,,,$
10008,グレイ,「煙草？ 吸うで、がんがん。ああそうや、最近それでクラインが煩くてなあ」,M-01/style_B,G-01,,,back-006,,,,,,,,,P_G01_08,,$
10009,グレイ,「やれ換気しろだの、肺が黒くなるだの……知らんがなそんなん。こちとら毎日仕事詰めで疲れとるっちゅうに……」,M-01/style_B,G-04,,,back-006,,,,,,,,,P_G01_09,,$
10010,メイア,「た、大変そうですね」,M-02/style_B,G-04,,,back-006,,,,,,,,,,,$
10011,グレイ,「んで、それがどうかしたん？」,M-02/style_B,G-01,,,back-006,,,,,,,,,P_G01_11,,$
10012,メイア,「はい、これを」,M-01/style_B,G-01,,,back-006,,,,,,,,,,,$
10013,グレイ,「……煙草？」,M-01/style_B,G-06,,,back-006,,,,,,,,,P_G01_13,,$
10014,メイア,"「さっき買ったんですけど、誰も吸う人がいなくて。
よかったら貰ってください」",M-01/style_B,G-06,,,back-006,,,,,,,,,,,$
10015,グレイ,「……使う宛が無いのに買うたんか。自分、けったいなことするなあ……」,M-01/style_B,G-04,,,back-006,,,,,,,,,P_G01_15,,$
10016,グレイ,「まあ、そういうことなら遠慮なく。丁度切れたとこでな、助かったわ」,M-01/style_B,G-02,,,back-006,,,,,,,,,P_G01_16,,$
10017,グレイ,「……せや。ほんなら煙草一本分、お嬢ちゃんの時間もろてええかな」,M-01/style_B,G-01,,,back-006,,,,,,,,,P_G01_17,,$
10018,メイア,「え？ はい、大丈夫です」,M-05/style_B,G-01,,,back-006,,,,,,,,,,,$
10019,グレイ,「よっしゃ。ほなら行こか。着いてき、とっておきの場所教えたる」,M-05/style_B,G-02,,,back-006/SO,,,,,,,BGM-022/FO,,P_G01_19,,$
10020,メイア,「……あの、ありがとうございます。ジュース奢って頂いて」,M-01/style_B,G-01,,,back-007/SI,,,,,,,,,,,$
10021,グレイ,「気にせんとき、煙草の礼や。それに、俺が吸っとる間手持ち無沙汰なのもアレやろ」,M-01/style_B,G-02,,,back-007,,,,,,,,,P_G01_21,,$
10022,グレイ,「……ここ、ええやろ。人がおらんくて」,M-01/style_B,G-01,,,back-007,,,,,,,,,P_G01_22,,$
10023,グレイ,「見回り当番のときは決まってここでサボるんが俺の決まりでな。ゆーっくり煙草吸うのが気持ちええんやわ」,M-01/style_B,G-01,,,back-007,,,,,,,,,P_G01_23,,$
10024,グレイ,「ちょこまか周りうろつくクラインもここまでは来おへんし。安全地帯やな」,M-01/style_B,G-02,,,back-007,,,,,,,,,P_G01_24,,$
10025,グレイ,「……そう考えたら、お嬢ちゃんが初めてここ教えた相手になるな」,M-01/style_B,G-06,,,back-007,,,,,,,,,P_G01_25,,$
10026,グレイ,「…………」,M-01/style_B,G-03,,,back-007,,,,,,,,,P_G01_26,,$
10027,メイア,「……あの、煙草お好きなんですか？」,M-01/style_B,G-03,,,back-007,,,,,,,,,,,$
