,キャラ名,台詞,立ち絵・表情,背景,BGM,SE,ボイス,備考,$
2562,八百屋,「……はい、ちょうど。いつもありがとうね、メイアちゃん」,,back-006,,,,11月15日。クライン好感度60,$
2563,メイア,"「いえ、私こそ！
ここのお野菜、どれも新鮮で美味しいんです。
ご主人様にも好評なんですよ」",,back-006,,,,,$
2564,八百屋,"「そりゃ良かった！
頑張って仕入れた甲斐があったってもんだよ。
……ああ、そうだ、メイアちゃん」",,back-006,,,,,$
2565,メイア,「はい？」,,back-006,,,,,$
2566,八百屋,「聞いたよ。最近クラインと仲良いそうじゃないか」,,back-006,,,,,$
2567,メイア,「……えっ？」,,back-006,,,,,$
2568,八百屋,"「この前は一緒に舞台を観に行ったんだってね。
女の子と出かけることは別段珍しくないけれど、
ああして楽しそうに自慢してくるのなんて初めてだよ」",,back-006,,,,,$
2569,八百屋,「よっぽど楽しかったんだろうね」,,back-006,,,,,$
2570,メイア,「楽しそうにって……クラインがですか？」,,back-006,,,,,$
2571,八百屋,"「そうさ。
あいつ、嬉しいことがあるとすぐに人に自慢したがるからねえ……
こりゃ、随分気に入られたもんだ」",,back-006,,,,,$
2572,八百屋,"「どうせなら、このままメイアちゃんに行けばいいのに。
ああいうのには媚びる娘より
あんたみたいにバシッと言える子がいいんだよ」",,back-006,,,,,$
2573,メイア,「あ、あはは……」,,back-006,,,,,$
2574,八百屋,"「それで？
メイアちゃんはどう思ってるんだい？
クラインのこと」",,back-006,,,,,$
2575,メイア,"「えっ！？　い、いや……
どうって言われても、友人としか……」",,back-006,,,,,$
2576,女,「きゃあああっ！！！」,,back-006,,,,,$
2577,メイア,「！？」,,back-006,,,,,$
2578,男,「吸血鬼だ！　吸血鬼が出たぞ！！」,,back-006,,,,,$
2579,メイア,「……吸血鬼！？」,,back-006,,,,,$
2580,八百屋,"「おいおい、銀蝶隊は何してるんだい！
メイアちゃん、あたしらも逃げるよ！」",,back-006,,,,,$
2581,メイア,「は……はい！」,,back-006,,,,,$
2582,母親,"「……マリー、マリー！
どこに行ったの！？」",,back-006,,,,,$
2583,八百屋,「ローズ！　どうしたんだい、娘さんは！？」,,back-006,,,,,$
2584,母親,"「それが、はぐれてしまって……！
高級街までは傍にいたんですけど、人混みに紛れて、いつの間にか……」",,back-006,,,,,$
2585,メイア,「……！！」,,back-006,,,,,$
