,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
2910,リート,「ああ、メイア。ちょうどいいところに」,,L-01,,,back-015-sun/FI,,,,,,,,,V-2910,,$
2911,メイア,「リートさん。どうしましたか？」,,L-01,,,back-015-sun,,,,,,,,,,,$
2912,リート,"「少し頼み事がある。
本当は俺が直接行くべきなんだが、仕事の締め切りが迫っていてな」",,L-01,,,back-015-sun,,,,,,,,,V-2912,,$
2913,メイア,「構いませんよ！　なんでもお任せください！」,,L-01,,,back-015-sun,,,,,,,,,,,$
2914,リート,「そうか、助かる」,,L-01,,,back-015-sun,,,,,,,,,V-2914,,$
659,リート,"「この手紙を出しておいて欲しい。街のポストではなく、アインの裏街道……
商店街の裏に『Close』の札がかかった白い扉の建物がある。そこのポストに直接投函してくれ」",,L-01,,,back-015-sun,,,,,,,,,V-0659,,$
660,メイア,「……？　はい、分かりました」,M-04,,,,back-015-sun,,,,,,,,,,,$
661,リート,「頼む」,M-04,L-01,,,back-015-sun/FO,,,,,,,,,V-0661,,$
662,メイア,"（えっと……裏街道って、多分ここだよね。
私が初めて来たときに迷い込んだ ……）",M-01,,,,back-007/FI,,,,,,,,,,,$
663,メイア,"（ここ、どのお店も閉まってて何もないんだけど……
リートさんの知り合いが住 んでるってことなのかな）",M-04,,,,back-007,,,,,,,,,,,$
664,メイア,（ええと、白い扉……白い扉……）,M-04,,,,back-007,,,,,,,,,,,$
665,メイア,「あ、ごめんなさ──」,M-04,,,,back-007,,,,,,,,SE-014,,,$
666,男,「…………」,M-04,S-03,,,back-007,,,,,,,,,,,$
667,メイア,「……っ」,M-04,S-03,,,back-007,,,,,,,,,,,$
668,メイア,（な……何？ この人……ずっと唸ってる……）,M-04,S-03,,,back-007,,,,,,,,,,,$
669,メイア,"（あんまり関わったらいけない人なのかな……
どうしよう、一回ここを離れて……）",M-04,S-03,,,back-007,,,,,,,,,,,$
670,男,「……血」,M-04,S-03,,,back-007,,,,,,,,,,,$
671,メイア,「……え？」,M-04,S-03,,,back-007,,,,,,,,,,,$
672,男,"「血の匂い……それも、とびきり甘い……
オマエ……『黄金の血』か！？」",M-04,S-03,,,back-007,,,,,,,,,,,$
673,メイア,「は……」,M-05,S-03,,,back-007,,,,,,,,,,,$
674,男,"「フッ……フフフ、ッハハハハハ！ まさか、本当に存在するなんて！
ああわかる、匂いでわかる！ 他の人間とはまるで違う！！」",M-05,S-03,,,back-007,,,,,,,,,,,$
675,男,「これで、これで俺も純血種と同じ……いや、それ以上に……！」,M-05,S-03,,,back-007,,,,,,,,,,,$
676,メイア,（まずい……この人、絶対おかしい……！　はやく逃げないと──）,M-04,,,,back-007/FO,,,,,,,,,,,$
677,メイア,「──っきゃあ！！」,,,,,back-010/FI,,,,Shake,,,,SE-004,,,$
678,男,「おい逃げんなよ、折角幻の喰いもんが目の前現れたってのに、逃がすわけねえだろ。クククッ……！」,,,,,back-010,,,,,,,,,,,$
679,メイア,"（伸し掛かられて、逃げられない……！
この人、普通の男の人より力が強い！）",,,,,back-010,,,,,,,,,,,$
680,男,"「ああ、美味そうな匂い……！
俺が『黄金の血』を独り占めできるなんて……！」",,,,,back-010,,,,,,,,,,,$
681,メイア,「う……ぐ……っ！」,,,,,back-010,,,,,,,,,,,$
