,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
3848,,――あれから、数ヶ月が過ぎた。,,,,,back-006/FI,,,,,,,BGM-018/CI,,,,$
3849,,軍の非人道的な人体実験を公表したことで、アインの街はかなりの混乱に陥っていた。,,,,,back-006,,,,,,,,,,,$
3850,,平民を中心に行われた実験を非難する連日のデモへの対応で、軍はかなり辟易しているよう。,,,,,back-006,,,,,,,,,,,$
3851,,グレイさんは計画の責任者として身柄を拘束され、今は地下の収容施設で処分を検討されているらしい。,,,,,back-006,,,,,,,,,,,$
3852,,"グレイさんの仕切っていた銀蝶隊は解散となった。
テオドアさんが名乗りを上げ、元隊員たちの回復に手を尽くしている。",,,,,back-006,,,,,,,,,,,$
3853,,"グレイさんがどうなるのかは分からない。けれど……
ハレルヤの実験はテオドアさんが全て破棄したと聞いている。",,,,,back-006,,,,,,,,,,,$
3854,,あの時のようなことはもう、起きないと信じたい。,,,,,back-006/FO,,,,,,,,,,,$
3855,,私とクラインはアインから遠く離れた田舎で暮らしていた。,,,,,,,,,,,,,,,,$
3856,,"「黄金の血」の存在がアインの吸血鬼にばれてしまった以上、そこに留まるのは危険だからだ。
それに、リートさんとの約束の三ヶ月も経過していたから。",,,,,,,,,,,,,,,,$
3857,,テオドアさんが紹介してくれたその田舎はとても長閑で、あたたかい場所だ。,,,,,,,,,,,,,,,,$
3858,,"銀蝶隊から異動という形で田舎村の警護任務に移ったクラインも、
いつも楽しそうに仕事をしている。",,,,,,,,,,,,,,,,$
3859,,元々人に好かれやすい性格だから、あっという間に村人と仲良くなってしまった。,,,,,,,,,,,,,,,,$
3860,,"そして、今日は──
",,,,,,,,,,,,BGM-018/FO,,,,$
3861,メイア,「……ほら、クライン起きて。朝だよ」,,,,,back-012/FI,,,,,,,BGM-021/CI,,,,$
3862,クライン,「んん……んー……あと五分……」,,,,,back-012,,,,,,,,,V-3862,,$
3863,メイア,「それはもうさっき聞いた。駄目です」,,,,,back-012,,,,,,,,,,,$
3864,クライン,「んだよ、けち……」,,,,,back-012,,,,,,,,,V-3864,,$
3865,メイア,「けちじゃない。そもそも、誘ってきたのはクラインじゃない」,,,,,back-012,,,,,,,,,,,$
3866,メイア,"「公園に綺麗なツツジが咲いたからピクニックして、その後は劇を見に行くんで しょ？
寝てたらどんどん時間無くなっちゃう」",,,,,back-012,,,,,,,,,,,$
3867,クライン,「うう……」,,,,,back-012,,,,,,,,,V-3867,,$
3868,メイア,"「朝ごはんもできてるよ。今日はスクランブルエッグに、お隣さんから貰ったパン。
それと……手作りシフォンケーキ」",,,,,back-012,,,,,,,,,,,$
3869,クライン,「……シフォンケーキ！？」,,,,,back-012,,,,,,,,,V-3869,,$
3870,メイア,「目、覚めた？　それじゃ、早く起きて着替えて……」,,,,,back-012,,,,,,,,,,,$
3871,クライン,「あ……ちょ、タンマ！　まだ目覚めてない！」,,,,,back-012,,,,,,,,,V-3871,,$
3872,メイア,「……え？　ハキハキ喋ってるじゃない……わ……っ」,,,,,back-012/FO,,,,,,,BGM-021/FO,,,,$
3873,メイア,「……！」,,,,,still-004/FI,,,,,,,BGM-019/CI,,,,$
3874,クライン,「……ん、目覚めた」,,,,,still-004,,,,,,,,,V-3874,,$
3875,メイア,「く、クライン……！」,,,,,still-004,,,,,,,,,,,$
3876,クライン,「はは、顔真っ赤。超可愛い顔になってる」,,,,,still-004,,,,,,,,,V-3876,,$
3877,メイア,「ちょ、ちょっと……離してよ」,,,,,still-004,,,,,,,,,,,$
3878,クライン,「やだ。あと五分」,,,,,still-004,,,,,,,,,V-3878,,$
3879,メイア,「って、また……！」,,,,,still-004,,,,,,,,,,,$
3880,クライン,"「いいだろ、ちょっとくらい。
あー、いい匂いする……落ち着く」",,,,,still-004,,,,,,,,,V-3880,,$
3881,クライン,"「……やっぱオレ、あんたのことすげー好きだ。
毎日、どんどん好きがデカくなってく」",,,,,still-004,,,,,,,,,V-3881,,$
3882,クライン,「な、メイア。……オレ、あんたと一緒にいれてすげー幸せだ」,,,,,still-004,,,,,,,,,V-3882,,$
3883,クライン,「……あんたも、おんなじ気持ちだといいな」,,,,,still-004/FO,,,,,,,BGM-019/FO,,V-3883,,$
