,キャラ名,台詞,立ち絵・表情,背景,BGM,SE,ボイス,備考,$
649,メイア,「よ……っと。リートさん、これで大丈夫ですか？」,M-01,back-005-sun,BGM-002,SE-013,,11月15日。リート好感度55,$
650,リート,「ああ、すまない。助かった」,L-01,back-005-sun,,,V-0650,,$
651,メイア,「それにしても、こんな沢山の本何に使うんですか？」,M-01,back-005-sun,,,,,$
652,リート,"「翻訳に少し、な。
あまり馴染みの無い言語が使われているから、勉強し ておきたい」",L-01,back-005-sun,,,V-0652,,$
653,メイア,「十ヶ国語話せるリートさんでもまだ分からない言葉があるんですか」,M-05,back-005-sun,,,,,$
654,リート,"「分からないものの方が多い。この世にいくつ国があると思っているんだ。
俺の知識など、ほんの一握りにすぎない」",L-01a,back-005-sun,,,V-0654,,$
655,メイア,"「それでも、知識があるだけすごいですよ。その上、まだ勉強しようとしてい るんですから！
中々出来ることじゃないと思います」",M-02,back-005-sun,,,,,$
656,リート,「……これくらいしかすることが無かっただけなんだがな」,L-04,back-005-sun,,,V-0656,,$
657,リート,「それより、メイア。ついでにもう一つ頼まれてくれないか」,L-01,back-005-sun,,,V-0657,,$
658,メイア,「はい、勿論！　なんでしょう？」,M-01,back-005-sun,,,,,$
659,リート,"「この手紙を出しておいて欲しい。街のポストではなく、アインの裏街道……
商店街の裏に『Close』の札がかかった白い扉の建物がある。そこのポストに直接投函してくれ」",L-01,back-005-sun,,,V-0659,,$
660,メイア,「……？　はい、分かりました」,M-04,back-005-sun,,,,,$
661,リート,「頼む」,L-01,back-005-sun,BGM-002フェードアウト,,V-0661,,$
,,,,,,,,フェードアウト,$
,,,,back-007,,,,フェードイン,$
662,メイア,"（えっと……裏街道って、多分ここだよね。
私が初めて来たときに迷い込んだ ……）",M-01,back-007,,,,,$
663,メイア,"（ここ、どのお店も閉まってて何もないんだけど……
リートさんの知り合いが住 んでるってことなのかな）",M-04,back-007,,,,,$
664,メイア,（ええと、白い扉……白い扉……）,M-04,back-007,,,,,$
,,,,back-007,,SE-014,,,$
665,メイア,「あ、ごめんなさ──」,M-04,back-007,,,,,$
666,男,「…………」,S-03,back-007,,,,,$
667,メイア,「……っ」,M-04,back-007,,,,,$
668,メイア,（な……何？ この人……ずっと唸ってる……）,M-04,back-007,BGM-005,,,,$
669,メイア,"（あんまり関わったらいけない人なのかな……
どうしよう、一回ここを離れて……）",M-04,back-007,,,,,$
670,男,「……血」,S-03,back-007,,,,,$
671,メイア,「……え？」,M-04,back-007,,,,,$
672,男,"「血の匂い……それも、とびきり甘い……
オマエ……『黄金の血』か！？」",S-03,back-007,,,,,$
673,メイア,「は……」,M-05,back-007,,,,,$
674,男,"「フッ……フフフ、ッハハハハハ！ まさか、本当に存在するなんて！
ああわかる、匂いでわかる！ 他の人間とはまるで違う！！」",S-03,back-007,,,,,$
675,男,「これで、これで俺も純血種と同じ……いや、それ以上に……！」,S-03,back-007,,,,,$
676,メイア,（まずい……この人、絶対おかしい……！　はやく逃げないと──）,M-04,back-007,,,,,$
,,,,back-010,,SE-004,,画面を揺らすなどできれば。吸血鬼立ち絵消去。,$
677,メイア,「──っきゃあ！！」,なし,back-010,,,,,$
678,男,「おい逃げんなよ、折角幻の喰いもんが目の前現れたってのに、逃がすわけねえだろ。クククッ……！」,なし,back-010,,,,,$
679,メイア,"（伸し掛かられて、逃げられない……！
この人、普通の男の人より力が強い！）",なし,back-010,,,,,$
680,男,"「ああ、美味そうな匂い……！
俺が『黄金の血』を独り占めできるなんて……！」",なし,back-010,,,,,$
681,メイア,「う……ぐ……っ！」,なし,back-010,,,,,$
