,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
1116,テオドア,「…………」,,T-03,,,back-015-sun/FI,,,,,,,BGM-002/CI,,V-1116,,$
1117,テオドア,「…………」,,T-03,,,back-015-sun,,,,,,,,,V-1117,,$
1118,メイア,「……？」,M-04,T-03,,,back-015-sun,,,,,,,,,,,$
1119,メイア,「あの、テオさん……？」,M-04,T-03,,,back-015-sun,,,,,,,,,,,$
1120,リート,「あれは、あいつが悩んでいるときの癖だ」,M-04,L-01,,,back-015-sun,,,,,,,,,V-1120,,$
1121,メイア,「リートさん」,M-01,L-01,,,back-015-sun,,,,,,,,,,,$
1122,リート,"「研究が行き詰っていたり、悩み事があると
あいつは決まって窓から遠くを眺めるんだ。
頭の中を整理できるらしい」",M-01,L-01,,,back-015-sun,,,,,,,,,V-1122,,$
1123,メイア,「今、何か研究をしてらっしゃるんですか？」,M-01,L-01,,,back-015-sun,,,,,,,,,,,$
1124,リート,"「そう、だな……あいつは医者であると同時に薬師でもある。
薬の開発で何か壁にぶつかったんだろう」",M-01,L-08,,,back-015-sun,,,,,,,,,V-1124,,$
1125,メイア,「なるほど……じゃあ、今は話しかけない方が良さそうですね」,M-01,L-08,,,back-015-sun,,,,,,,,,,,$
1126,リート,「何か用があったのか？」,M-01,L-01,,,back-015-sun,,,,,,,,,V-1126,,$
1127,メイア,"「いえ、大したことじゃありません。
今夜のリクエストをお聞きしようとしただけですから」",M-01,L-01,,,back-015-sun,,,,,,,,,,,$
1128,リート,「そうか。なら、後で折を見て俺から聞いておこう」,M-01,L-01,,,back-015-sun,,,,,,,,,V-1128,,$
1129,テオドア,「大丈夫、聞こえてるよ」,M-01,,L-01,T-01,back-015-sun,,,,,,,,,V-1129,,$
1130,メイア,「わっ！」,M-05,,L-01,T-01,back-015-sun,,,,,,,,,,,$
1131,リート,「っ、聞いていたのか」,M-05,,L-05,T-01,back-015-sun,,,,,,,,,V-1131,,$
1132,テオドア,"「こんな近くで話されれば、そりゃあね。
今夜かぁ……僕はビーフシチューがいいな。リートは？」",M-05,,L-05,T-01,back-015-sun,,,,,,,,,V-1132,,$
1133,リート,「野菜のスープをつけてくれれば構わない」,M-05,,L-01a,T-01,back-015-sun,,,,,,,,,V-1133,,$
1134,メイア,"「かしこまりました。ではビーフシチューと野菜スープに……
パンとサラダをおつけしますね。デザートはフルーツの盛り合わせで」",M-01,,L-01a,T-01,back-015-sun,,,,,,,,,,,$
1135,リート,「ああ。頼む」,M-01,,L-01,T-01,back-015-sun,,,,,,,,,V-1135,,$
