,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
1960,,――あれから、数ヶ月が過ぎた。,,,,,,,,,,,,BGM-046/CI,,,,$
1961,,"軍の非人道的な人体実験を公表したことで、
アインの街はかなりの混乱に陥っていた。",,,,,,,,,,,,,,,,$
1962,,"平民を中心に行われた実験を非難する連日のデモへの対応で、
軍はかなり辟易しているよう。",,,,,,,,,,,,,,,,$
1963,,そんな中、テオさんが銀蝶隊の隊長に就き、鎮圧に尽力している。,,,,,,,,,,,,,,,,$
1964,,"元々軍人としての身分を持っていたのか、
もしくは何か色んな手を使ったのか……
そこは、わからないけれど。",,,,,,,,,,,,,,,,$
1965,,"テオさんは医者として街の人からの信頼も厚く、
銀蝶隊のイメージを改善するにはぴったりだった。",,,,,,,,,,,,,,,,$
1966,,"事実、銀蝶隊は薬の使用を廃止し、
編成を見直して街を守るための部隊として生まれ変わりつつある。",,,,,,,,,,,,,,,,$
1967,,"テオさんの夢は「人間と『吸血鬼』の共存」。
自らが旗頭となって、それを為すつもりなのだろう。
――今はまだ、始まったばかりだけれど。",,,,,,,,,,,,,,,,$
1968,,"そして、私とリートさんはというと――
混乱に乗じ、テオさん紹介の田舎へと二人で越してきていた。",,,,,,,,,,,,,,,,$
1969,,誰も知らない、遠くの長閑な田舎。日光が気持ちいい、素敵なところだ。,,,,,,,,,,,,BGM-046/FO,,,,$
1970,リート,「メイア、ここに居たのか」,,,,,back-012/FI,,,,,,,,,V-1970,,$
1971,メイア,「あ……リートさん」,,,,,back-012,,,,,,,,,,,$
1972,リート,「本を読んでいたのか？」,,,,,back-012,,,,,,,,,V-1972,,$
1973,メイア,"「はい！　リートさんに教わったおかげで、
ちょっと難しいものも読めるようになったんですよ。ほら！」",,,,,back-012,,,,,,,,,,,$
1974,リート,"「……成程。まだ子供向けの域は出ないが……
幼児向けからは卒業したようだな」",,,,,back-012,,,,,,,,,V-1974,,$
1975,メイア,「……その言い方、ちょっと馬鹿にしてます？」,,,,,back-012,,,,,,,,,,,$
1976,リート,「冗談だ。えらいな」,,,,,back-012,,,,,,,,,V-1976,,$
1977,メイア,「って、子供扱い……」,,,,,back-012,,,,,,,,,,,$
1978,リート,「ふ……すまん。つい、な」,,,,,back-012,,,,,,,,,V-1978,,$
1979,メイア,「……もう」,,,,,back-012,,,,,,,,,,,$
1980,メイア,"「あ……リートさん、お仕事は休憩ですか？
私、お茶淹れてきますね」",,,,,back-012,,,,,,,,,,,$
