,キャラ名,台詞,立ち絵・表情,背景,BGM,SE,ボイス,備考,$
252,メイア,「……よし！」,M-01,back-008,BGM-002,,,10月15日。リート好感度20。掃除三回以上プレイ必須。,$
253,メイア,（食堂は一通り綺麗にしたし、料理も用意した。今日こそは――）,M-01,back-008,,,,,$
254,メイア,「今日こそは、リートさんを部屋の外に出す！」,M-07,back-008,,,,,$
255,メイア,（いつもいつも言われるままに執務室に運んでたけど、あの感じだと一か月ずっと籠りきりでいそうだし……流石に、体に悪いよ）,M-04,back-008,,,,,$
256,メイア,（せめて夜ごはんくらいはちゃんと、食堂で食べてもらおう！）,M-01,back-008,,,,,$
,,,,,,,,場面変化。スライド。,$
257,リート,「断る」,L-01a,back-005-sun,,,V-0257,,$
258,メイア,「待ってください！！」,M-07,back-005-sun,,,,,$
259,リート,「…………」,L-04,back-005-sun,,,V-0259,,$
260,メイア,（う……うわあ、すごい嫌そうな顔してる……）,M-04,back-005-sun,,,,,$
261,メイア,"（いや、でも今日は引かないって決めたんだ。
ここで挫けるわけには･･････）",M-07,back-005-sun,,,,,$
262,メイア,"「で、でもほら！リートさんもうずっとお部屋にいるじゃないですか。
少しは外の空気吸わないと、体に悪いですよ」",M-01,back-005-sun,,,,,$
263,リート,「お前に心配されるようなことは何もない」,L-01a,back-005-sun,,,V-0263,,$
264,メイア,「そ、そんな頑なにならなくても……」,M-04,back-005-sun,,,,,$
265,リート,"「確かに、お前を屋敷に置くことは許した。
だが必要以上の干渉を許した覚えは無い。分かったら出ていけ」",L-01,back-005-sun,,,V-0265,,$
266,メイア,（うう……どうしよう？）,M-04,back-005-sun,,,,,$
,,,,,,,,,$
,,『誠心誠意頼んでみる』,,,,,,選択肢/好感度大アップ,$
267,メイア,"「でも、あの……心配です。ただでさえ陽の差さない街で、こんな森の中……
せめて室内でも少し動いたほうがいいと思います」",M-04,back-005-sun,,,,,$
268,メイア,"「私、お屋敷中掃除したんです。勿論、食堂も。
ですから、埃っぽくて居づらいなんてことも無いと思います」",M-04,back-005-sun,,,,,$
269,リート,「…………」,L-01a,back-005-sun,,,V-0269,,$
270,メイア,「人が居るのが嫌なら、私は料理だけ出して外にいます。だから──」,M-04,back-005-sun,,,,,$
271,リート,「……分かった、行けばいいんだろう」,L-04,back-005-sun,,,V-0271,,$
272,メイア,「だから──って、え？」,M-04,back-005-sun,,,,,$
